Time Bucket (America/New_York),Non Backup Panel-Mains_A (kWhs),Non Backup Panel-Mains_B (kWhs),Non Backup Panel-Mains_C (kWhs),Non Backup Panel-Clothes Dryer-Up dryer (kWhs),Non Backup Panel-Other-garage makeup air (kWhs),Non Backup Panel-Cooktop/Range/Oven/Stove-steam oven (kWhs),Non Backup Panel-Cooktop/Range/Oven/Stove-wall oven (kWhs),Non Backup Panel-Other-rangehood (kWhs),Non Backup Panel-Dishwasher-dishwasher (kWhs),Non Backup Panel-Clothes Washer-washer (kWhs),Non Backup Panel-Other-office floor receptacle  (kWhs),Non Backup Panel-Other-pool panel (kWhs),Non Backup Panel-Other-jack and jill and pool bath receptacle  (kWhs),Non Backup Panel-Other-garage receptacle  (kWhs),Non Backup Panel-Other-master bath and powder room receptacle  (kWhs),Non Backup Panel-Other-basement makeup air and wine fridge (kWhs),Non Backup Panel-Other-up master bed (kWhs),Non Backup Panel-Heat Pump-upstairs Heat pump (kWhs),Non Backup Panel-Electric Vehicle/RV-car charger (kWhs)
04/13/2026 00:00:00,0.0117,0.0006,No CT,0.9594,0.0156,0.6409,0.0000,0.1263,0.0000,0.0000,0.1735,0.1424,0.0000,0.1902,0.6064,0.7106,0.2608,0.0504,21.7719
04/14/2026 00:00:00,0.0086,0.0020,No CT,0.0000,0.0207,2.0885,0.0000,0.0789,0.0000,0.0000,0.7842,0.3069,0.0000,0.4586,0.7913,1.3218,0.4325,1.8852,12.3224
04/15/2026 00:00:00,0.0023,0.0000,No CT,0.0000,0.0179,0.6419,0.0000,0.0917,0.0000,0.0000,0.7859,0.1716,0.0000,0.3712,0.2172,1.3430,0.6125,0.9965,4.0223
04/16/2026 00:00:00,0.0081,0.0004,No CT,0.0008,0.0175,0.7757,0.0000,0.1027,0.0000,0.0000,0.6858,0.2661,0.0000,0.5185,0.2224,1.3537,0.3598,2.1025,13.1013
04/17/2026 00:00:00,0.0144,0.0020,No CT,2.2665,0.0190,0.0000,0.0054,0.0090,0.7283,0.9051,0.1488,0.0485,0.0000,0.4174,0.2743,1.3602,0.4749,1.3029,25.0217
04/18/2026 00:00:00,0.0020,0.0007,No CT,4.2333,0.0296,1.2855,0.0000,0.2401,0.0490,0.1216,0.3048,1.1366,0.0000,0.4771,0.2300,1.3487,0.4373,1.1708,3.2760
04/19/2026 00:00:00,0.0000,0.0000,No CT,0.0000,0.0394,0.0000,0.0087,0.0103,0.6241,0.0000,0.6799,0.3113,0.0000,0.3932,0.2288,1.3526,0.3318,0.7622,0.0000
04/20/2026 00:00:00,0.0092,0.0000,No CT,0.0000,0.0749,0.4150,0.0000,0.1051,0.0001,0.0000,0.9811,0.1296,0.0000,0.2788,0.2635,1.2903,0.3641,0.0215,18.5551
04/21/2026 00:00:00,0.0019,0.0001,No CT,4.8129,0.0288,2.7666,0.0000,0.2971,0.0013,0.1372,0.9375,0.2151,0.0000,0.2926,0.8820,1.2840,0.4644,0.0028,3.0589
04/22/2026 00:00:00,4.1055,3.6002,No CT,4.3760,0.0267,0.0000,0.0000,0.0130,0.0000,0.0000,0.8160,0.0194,0.0358,0.2309,0.5762,1.2848,0.3573,0.0025,3.5780
04/23/2026 00:00:00,16.6172,16.3106,No CT,2.9412,0.0214,0.0000,0.0000,0.1195,0.0034,0.2715,0.7277,12.6658,0.0000,0.3700,0.6106,1.3193,0.4749,0.1903,12.3068
04/24/2026 00:00:00,22.1937,22.4719,No CT,0.0000,0.0198,0.0000,0.0000,0.0271,0.0000,0.0000,0.7606,27.1139,0.0000,0.3334,0.4700,1.3369,0.3025,0.8659,11.7585
04/25/2026 00:00:00,29.0649,30.4522,No CT,0.0000,0.3845,1.0142,0.7652,0.8345,0.2546,0.7862,0.4298,26.5661,0.0589,0.2915,0.6669,1.3616,0.7307,0.1689,22.3523
04/26/2026 00:00:00,22.0320,21.6767,No CT,0.0000,0.0198,1.6454,0.0041,0.2053,0.3556,0.0000,0.5623,24.7759,0.0000,0.3040,0.7471,1.1111,0.2866,0.0020,12.1380
