Time Bucket (America/New_York),Backup Panel-Mains_A (kWhs),Backup Panel-Mains_B (kWhs),Backup Panel-Mains_C (kWhs),Backup Panel-Cooktop/Range/Oven/Stove-Cooktop (kWhs),Backup Panel-Clothes Dryer-Dryer (kWhs),Backup Panel-Other-Car charger (kWhs),Backup Panel-Other-office (kWhs),Backup Panel-Other-panel recep - network (kWhs),Backup Panel-Fridge/Freezer-island fridge (kWhs),Backup Panel-Cooktop/Range/Oven/Stove-island cooktop (kWhs),Backup Panel-Fridge/Freezer-fridge (kWhs),Backup Panel-Fridge/Freezer-freezer (kWhs),Backup Panel-Microwave-microwave (kWhs),Backup Panel-Other-outside receptacles (kWhs),Backup Panel-Air Conditioner-downstairs AC (kWhs),Backup Panel-Air Conditioner-upstairs AC (kWhs),Backup Panel-Water Heater-Water heater 1 (kWhs),Backup Panel-Water Heater-water heater 2 (kWhs),Backup Panel-Heat Pump-downstairs heat (kWhs)
04/13/2026 00:00:00,51.5122,52.7159,No CT,0.5601,0.0007,44.6578,0.6038,1.1296,0.3605,0.0000,0.8414,0.6470,0.2257,1.4351,0.0000,0.0869,11.6279,0.1087,0.1145
04/14/2026 00:00:00,70.1181,69.1947,No CT,0.6824,0.0000,48.8339,0.5976,2.0938,0.5426,0.0000,1.5993,1.2155,0.2335,2.6945,4.4836,10.1593,20.6525,0.1331,0.6728
04/15/2026 00:00:00,46.0027,46.5971,No CT,0.3229,0.0000,0.0000,1.0057,2.1054,0.5163,0.0000,1.6236,1.0513,0.0379,2.6819,7.3620,3.7735,22.1740,0.6694,0.8430
04/16/2026 00:00:00,45.0225,44.3995,No CT,0.6134,0.0000,0.0000,0.4304,2.1049,0.5461,0.0000,1.6880,0.9302,0.2778,2.6835,9.0684,10.9763,21.4562,0.0324,0.9463
04/17/2026 00:00:00,37.3597,40.6889,No CT,0.0000,0.0000,0.0000,0.0023,2.0979,0.6499,0.0000,1.6123,0.9466,0.0436,2.7128,5.8277,4.3318,23.8316,0.0351,0.7001
04/18/2026 00:00:00,46.7075,47.4642,No CT,1.4494,0.0000,0.0000,0.4116,2.0957,0.5590,0.0000,1.5787,1.0330,0.1117,2.7140,5.1614,3.5219,22.6488,0.0758,0.7835
04/19/2026 00:00:00,28.6908,29.8874,No CT,0.0704,0.0000,0.0000,0.5591,2.0838,0.5158,0.0000,1.5730,0.9137,0.0783,2.4834,0.2087,1.4881,25.0283,0.0237,0.0392
04/20/2026 00:00:00,47.1750,48.7390,No CT,0.4670,0.0000,0.0000,1.1573,2.0825,0.4832,0.0000,1.5548,0.9142,0.3033,1.3502,5.1596,0.2889,28.0106,0.0704,1.2144
04/21/2026 00:00:00,60.2820,61.5533,No CT,1.9793,0.0000,0.0000,0.6957,2.0834,0.5234,0.0000,1.5381,0.9450,0.1971,2.7397,9.8514,0.2802,32.4026,0.1069,0.8996
04/22/2026 00:00:00,40.8913,44.3260,No CT,1.7004,0.0000,0.0000,1.2458,2.0793,0.5984,0.0000,1.4655,0.8820,0.3514,2.9966,0.2062,0.1379,12.7772,13.2415,0.0839
04/23/2026 00:00:00,54.6256,56.0777,No CT,1.2067,0.0000,0.0000,0.6925,2.0857,0.5063,0.0000,1.5988,0.9915,0.1858,3.3688,2.4082,0.8923,0.1407,31.6857,0.4367
04/24/2026 00:00:00,53.2216,54.2716,No CT,0.8501,0.0000,0.0000,0.3231,2.0897,0.5378,0.0000,1.6040,0.9202,0.0420,1.5116,1.1987,1.9124,6.6069,39.7998,0.2321
04/25/2026 00:00:00,70.2285,64.3904,No CT,1.4765,0.0000,87.8521,0.5233,2.0774,0.5190,0.2723,1.5424,1.0224,0.2535,0.5857,0.2099,0.3965,43.3495,1.7761,0.0889
04/26/2026 00:00:00,31.9596,30.4968,No CT,0.5575,0.0000,0.0000,1.0562,1.7280,0.4295,0.0008,1.3257,0.7083,0.2293,0.2572,0.2361,0.2180,25.7335,0.0312,0.0592
